"timestamp","cpu_load","temperature","fan_rpm","battery_level","wifi_latency","disk_health"
"2026-06-01T08:00:00","16.0","45.0","1319.0","100.0","4.49","42.0"
"2026-06-01T08:05:00","17.0","44.0","1307.0","99.9","12.39","42.0"
"2026-06-01T08:10:00","17.0","39.0","1000.0","99.8","14.33","41.99"
"2026-06-01T08:15:00","15.0","46.0","1447.0","99.7","18.97","41.99"
"2026-06-01T08:20:00","12.0","40.0","1000.0","99.6","4.59","41.99"
"2026-06-01T08:25:00","15.0","40.0","1000.0","99.5","5.18","41.98"
"2026-06-01T08:30:00","14.0","38.0","1000.0","99.4","6.21","41.98"
"2026-06-01T08:35:00","13.0","42.0","1066.0","99.3","9.17","41.98"
"2026-06-01T08:40:00","15.0","38.0","1120.0","99.2","15.68","41.98"
"2026-06-01T08:45:00","13.0","41.0","1217.0","99.1","2.67","41.97"
"2026-06-01T08:50:00","16.0","42.0","1314.0","99.1","18.76","41.97"
"2026-06-01T08:55:00","14.0","37.0","1109.0","99.0","16.29","41.97"
"2026-06-01T09:00:00","15.0","39.0","1062.0","99.0","13.7","41.96"
"2026-06-01T09:05:00","18.0","42.0","1114.0","98.8","22.22","41.96"
"2026-06-01T09:10:00","18.0","46.0","1518.0","98.7","9.12","41.96"
"2026-06-01T09:15:00","19.0","42.0","1230.0","98.6","20.01","41.95"
"2026-06-01T09:20:00","18.0","41.0","1177.0","98.6","7.86","41.95"
"2026-06-01T09:25:00","19.0","41.0","1000.0","98.4","13.56","41.95"
"2026-06-01T09:30:00","18.0","39.0","1142.0","98.4","8.56","41.95"
"2026-06-01T09:35:00","20.0","44.0","1436.0","98.3","27.82","41.94"
"2026-06-01T09:40:00","17.0","44.0","1399.0","98.2","20.06","41.94"
"2026-06-01T09:45:00","14.0","39.0","1090.0","98.2","16.91","41.94"
"2026-06-01T09:50:00","17.0","41.0","1000.0","98.1","15.3","41.93"
"2026-06-01T09:55:00","16.0","41.0","1144.0","98.1","10.27","41.93"
"2026-06-01T10:00:00","17.0","42.0","1142.0","97.9","18.18","41.93"
"2026-06-01T10:05:00","15.0","40.0","1150.0","97.8","6.65","41.92"
"2026-06-01T10:10:00","16.0","44.0","1440.0","97.7","13.25","41.92"
"2026-06-01T10:15:00","16.0","39.0","1000.0","97.6","10.35","41.92"
"2026-06-01T10:20:00","18.0","41.0","1158.0","97.6","10.58","41.92"
"2026-06-01T10:25:00","20.0","43.0","1310.0","97.5","22.58","41.91"
"2026-06-01T10:30:00","20.0","43.0","1240.0","97.4","7.81","41.91"
"2026-06-01T10:35:00","18.0","39.0","1150.0","97.3","22.4","41.91"
"2026-06-01T10:40:00","18.0","43.0","1153.0","97.2","14.83","41.9"
"2026-06-01T10:45:00","19.0","40.0","1000.0","97.1","19.81","41.9"
"2026-06-01T10:50:00","20.0","43.0","1163.0","97.1","25.67","41.9"
"2026-06-01T10:55:00","20.0","40.0","1065.0","97.0","8.3","41.9"
"2026-06-01T11:00:00","18.0","39.0","1000.0","96.9","10.86","41.89"
"2026-06-01T11:05:00","19.0","44.0","1273.0","96.8","6.22","41.89"
"2026-06-01T11:10:00","20.0","40.0","1139.0","96.7","18.03","41.89"
"2026-06-01T11:15:00","18.0","44.0","1425.0","96.6","4.86","41.88"
